Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
lancenonce/circom-project,4,1,0,0,2024-08-17,JavaScript,1
0xturboblitz/goatramp,4,0,1,1,2024-01-04,HTML,2
fluidex/snarkit2,4,1,2,4,2023-04-14,TypeScript,4
Pratyush/zk-mooc-lang-examples,4,1,0,0,2024-08-06,Rust,2
akinovak/fast-semaphore,4,0,0,4,2022-11-16,Solidity,2
ChiHaoLu/circom-practice,4,3,0,0,2024-06-03,Solidity,1
y011d4/snarkpy,4,0,0,0,2024-02-26,Python,1
nullity00/circom-circuits,4,0,4,4,2024-09-15,Circom,1
distributed-lab/circom-g4-grammar,4,0,0,6,2024-10-31,Circom,2
lakhwani/cscd71,3,0,0,0,2024-08-30,Circom,1
colinnielsen/SNARK-hash-benchmark,3,0,0,0,2024-07-30,Shell,1
busyapedao/zkpayroll-contract,3,4,1,1,2022-08-19,JavaScript,1
CrescentBase/DKIM-Example,3,1,0,0,2024-01-09,Solidity,1
mottla/Blind-Schnorr-Signatures,3,1,0,0,2024-10-17,Circom,1
Apocentre/zkin-circuit,3,0,1,6,2024-09-23,Circom,1
Arianee/arianee-sdk,3,1,1,319,2024-11-04,TypeScript,8
tobinsouth/zktax,3,0,0,24,2024-09-16,TypeScript,3
koksang/zku.one,3,0,0,0,2023-03-13,Solidity,1
arnaubennassar/zkOnacci,3,1,0,0,2023-06-05,Go,1
zk-prediction-market/zk-prediction-market,3,0,0,30,2024-09-09,TypeScript,3
torusresearch/kreme,3,2,14,15,2024-09-23,TypeScript,1
0xRajkumar/zkSortedArray,3,0,0,0,2024-05-31,Assembly,1
mashharuki/ZKRepo,3,0,0,0,2024-01-04,Solidity,1
philsippl/semaphore-witness-example,3,2,0,0,2024-07-07,Circom,1
Veridise/zk-secureum-workshop-23-quiz-sources,3,1,0,0,2023-11-24,Solidity,3
thogiti/EFPSEZKFellowSummer,3,1,0,0,2024-02-07,JavaScript,1
saeyoon17/zk-models,3,1,0,0,2024-02-08,Jupyter Notebook,2
legitmaxwu/whirlwind,3,0,0,0,2024-10-27,TypeScript,2
tangle-network/masp-protocol,3,0,20,34,2023-11-21,Solidity,4
rishotics/cnn-nova,3,0,0,0,2024-11-06,Solidity,1
costa-group/ProgCrypto2023,3,0,0,0,2024-10-21,Circom,2
holonym-foundation/id-hub-contracts,3,0,1,2,2024-10-15,HTML,4
ProofOfInnocence/privacy-pools-v1,3,3,1,5,2024-04-29,Circom,2
ZhenXunGe/groth16-zkwasm,3,0,0,0,2023-11-15,C,1
CleanPegasus/Decentralized-Identity,2,1,0,0,2024-08-02,JavaScript,1
GuthL/xRollup,2,3,4,4,2019-04-26,JavaScript,3
alexbabits/circom-puzzles,2,0,0,0,2024-10-31,Circom,1
zkmopro/benchmark-app,2,0,0,0,2024-06-26,C++,8
noway/nzcb-circom,2,1,0,0,2023-03-08,JavaScript,1
0xSachinK/zk-aadhar,2,0,0,1,2023-09-17,Python,1
Orbiter-Finance/stark-snark-recursive-proofs,2,0,0,0,2023-08-17,Circom,3
Semiott/TerrainNet,2,0,0,0,2024-03-21,TypeScript,1
Semiott/SuffrageNet,2,1,0,0,2024-05-01,TypeScript,1
kroma-network/circomlib,2,0,0,0,2024-08-21,Circom,13
UrsaMajor-t/stark-snark-recursive-proofs,2,0,0,0,2024-09-22,Circom,3
rodrigombsoares/zero-knowledge-puzzles-solutions,2,0,0,0,2023-10-09,Solidity,6
2dvorak/zk-jwt-poc,2,1,0,0,2024-03-05,Circom,1
tanpx12/zkutil,2,0,0,0,2024-08-05,Rust,3
oskarth/zkconspiracy,2,1,0,0,2023-07-02,TypeScript,1
summitto/ProveThis,2,0,0,0,2024-02-26,Circom,2
MBelegris/AnemoiCircom,2,0,0,1,2024-07-02,JavaScript,1
Unirep/auth,2,0,1,2,2023-05-17,JavaScript,1
r0qs/zkcertree,2,0,0,1,2024-05-21,JavaScript,2
senyoudev/EthGlobal2023Istanbul,2,1,0,0,2023-11-24,Assembly,3
Semiott/VerityNet,2,0,0,0,2022-09-16,Solidity,1
blockhackersio/roman-kyoto,2,3,5,54,2024-11-05,TypeScript,3
etikshajain/only-circom,2,1,0,0,2023-03-11,,1
victoryeo/circom_zkp,2,0,0,0,2024-04-11,Circom,1
wyf-ACCEPT/ZK-Decision-Tree-Demo,2,0,1,4,2023-05-10,Circom,1
codex-storage/codex-storage-proofs-circuits,2,1,1,12,2024-09-23,Haskell,5
akinovak/semaphore-circuits,2,0,0,0,2021-09-22,Shell,1
AWI-20/VeriMint,2,0,0,0,2024-03-19,WebAssembly,1
ekrembal/halo2-tornado-nova,2,0,0,0,2024-05-23,Circom,1
paschal533/Deximpli,2,1,0,0,2024-08-13,C++,1
ocdbytes/ZK,2,0,0,0,2024-09-30,Jupyter Notebook,2
lsankar4033/zk-identity,2,1,0,3,2023-09-24,JavaScript,2
sudiptab2100/ZKIncrementalMerkleTree,2,0,0,0,2024-10-22,JavaScript,1
zkemail/zk-regex-registry,2,1,36,79,2024-11-07,TypeScript,5
Punith-KK/Kira,2,0,0,0,2023-10-07,TypeScript,1
thebor1337/zk-research,2,0,0,0,2024-04-16,Circom,1
zkSuite/zkForms-core,2,2,0,0,2023-07-21,Solidity,1
zkzoomer/bq-core,1,0,0,0,2023-03-16,JavaScript,1
iamsahu/zk-primitives,1,0,0,0,2023-03-09,JavaScript,1
NightfallRollup/nightfall-phase2ceremony,1,1,0,14,2023-01-31,JavaScript,5
snowolf46/circom_demo,1,0,0,0,2024-03-18,Circom,1
seetadev/ZKMedical-Billing,1,3,1,27,2024-09-15,JavaScript,2
GigameshGarages/ReefNet,1,1,0,0,2023-09-08,Solidity,1
openflow-labs/zk-email-verifier-poc,1,0,0,3,2024-09-15,Circom,8
jstinhw/typhoon,1,1,0,1,2024-05-01,Circom,1
AwakeLithiumFlower/ASOZ,1,0,0,0,2024-05-24,JavaScript,1
MaiCVCR/liquidity-proof,1,0,0,7,2024-10-28,TypeScript,3
martatomchuck/zkSNARK,1,0,0,0,2024-04-24,JavaScript,1
BoquilaID/U2SSO,1,0,0,6,2024-10-07,C++,4
Koukyosyumei/PwnableProof,1,0,0,0,2024-10-26,Circom,1
hyunsooda/zk-practice,1,1,0,0,2024-04-08,Circom,1
lamtrinh259/ETH_Tokyo_2024,1,0,0,7,2024-09-09,TypeScript,9
rishotics/ephemeral_ZK_L3s,1,1,0,1,2024-01-04,TypeScript,2
chentihe/zk-rollup-lite,1,1,0,0,2023-09-25,Go,1
mrsmkl/zk-bisect,1,0,0,0,2022-07-26,Solidity,1
rac-sri/Cryptography-and-Math-Coding,1,0,0,0,2024-10-07,Rust,1
DoraFactory/Vota-Circuits,1,3,1,3,2024-10-28,Circom,3
sampolgar/research,1,0,0,0,2024-10-19,Jupyter Notebook,1
bunsenstraat/remix-desktop,1,0,0,1,2024-10-29,TypeScript,164
pileum-eu/pileum-connect-circuit,1,0,0,0,2024-09-23,Circom,2
vmtree/circuits,1,1,0,0,2024-05-01,JavaScript,1
AndrewCLu/zk-waitlist,1,0,0,0,2023-10-13,Solidity,1
ClearflySystems/encodeclub,1,2,0,5,2024-10-16,TypeScript,4
Dhruv-2003/RareSkills_ZK,1,0,0,0,2024-02-07,JavaScript,1
twliu-dorian/zk-agreement,1,0,0,0,2024-09-29,Solidity,1
doutv/circom-benchmark,1,1,0,0,2024-11-05,Circom,1
holonym-foundation/nfc-passport,1,0,1,1,2024-05-20,Swift,2
0xPolygonHermez/stark-recurser,1,0,0,0,2024-11-05,Circom,1
darklakefi/darklake-monorepo,1,1,1,210,2024-11-05,TypeScript,2
mnm458/zeke-circuits,1,0,0,0,2024-05-05,Circom,1
johnson86tw/token-heist,1,2,0,6,2024-08-30,TypeScript,1
tornadocash-community/circomlib,1,10,0,0,2023-07-24,JavaScript,8
HSG88/snarkMjolnir,1,0,0,0,2021-01-27,JavaScript,1
LimeChain/ZK-Merkle-Inclusion-Proof,1,0,0,1,2023-04-26,Circom,2
akinovak/fair-distribution-circuits,1,0,0,0,2021-10-03,Solidity,1
mingyuhe22/circom-set-equality,1,0,0,0,2023-09-23,JavaScript,1
StephanSok/CircomFuzz,1,0,0,0,2024-04-22,C++,1
thor314/circom_play,1,0,0,0,2022-11-28,Assembly,1
aksbaih/tornado-zksnark,1,0,0,0,2022-06-27,JavaScript,1
ishitarastogi/ZK-Crypto-mixer,1,0,0,0,2024-02-29,Circom,1
Notebook-Labs/GooglePay-Zephyr,1,0,0,0,2024-08-04,Circom,1
uiuc-kang-lab/zkperf,1,0,0,0,2024-08-06,Circom,1
ngocban284/go-snark,1,0,56,56,2023-11-02,Go,1
kousikr26/darkforest-deploy,1,2,0,4,2022-07-17,TypeScript,3
HSG88/Mjolnir,1,0,0,0,2022-04-09,JavaScript,1
MICS-OZKi/ozki-toolkit,1,0,0,0,2022-08-04,TypeScript,1
zkzoomer/rollup-demo,1,1,0,0,2024-08-06,C++,1
VitalJeevanjot/zk-ae-private-transactions,1,0,0,0,2022-06-19,JavaScript,1
taikoonwang/zk-kit,1,0,0,1,2024-07-08,TypeScript,25
sCrypt-Inc/sudoku-bounty,1,0,0,0,2023-05-08,Circom,1
jacksoom/circom-bigint,1,1,0,0,2023-05-16,JavaScript,2
WasmJuicer/juicer,1,0,3,4,2023-12-07,Rust,2
nonstopcoderaxw/zk-electronic-signature,1,0,0,0,2024-08-01,JavaScript,1
druzhtech/zkToken-contracts,1,0,0,2,2023-03-09,JavaScript,2
0xkydo/projects,1,0,0,1,2022-10-11,JavaScript,1
JackYBT/crypto,1,0,0,0,2022-06-04,Python,1
nikoulai/cs251.stanford_cryptocurrencies_and_blockchains,1,0,0,0,2024-04-25,JavaScript,1
trinhkhang123/ProjectCss251,1,1,0,0,2023-12-08,JavaScript,1
rdeshwal731/Metacrafters_projects,1,0,0,0,2023-07-12,Solidity,1
route-2/ShareLock,1,0,0,0,2023-04-09,JavaScript,1
DoraFactory/vota-operator-scripts,1,1,0,8,2024-10-13,TypeScript,3
socathie/zk9-workshop,1,1,1,1,2024-08-22,Circom,1
Saichand-Samudrala/Performance-Analysis-of-Zero-Knowledge-Proofs,1,0,0,0,2024-08-19,Shell,1
Sdoba16/Circom-DL-course,1,0,0,0,2024-09-19,Python,1
Atomic-Buy/Atomic-Buy,1,1,0,0,2023-11-29,Circom,1
AkshatGada/jpmc0,1,0,0,0,2024-05-22,Circom,1
IvanPsurtcev/zk-puzzles-solution,1,0,0,0,2024-04-05,Assembly,1
femimarket/zetobackend,0,0,0,0,2024-08-24,JavaScript,1
topliceanu/IC3-dec-id,0,1,0,8,2023-07-04,Circom,6
m-pandey5/ZkDapp,0,0,0,0,2024-07-19,TypeScript,3
Space-zee/dumb-battle,0,0,1,7,2024-08-06,TypeScript,2
meold/circomlibjs-0.0.20,0,0,0,0,2022-08-23,JavaScript,1
yasuhide0802/omicron-supernova,0,0,0,0,2024-10-05,Jupyter Notebook,5
adanlg/zk_tornado,0,0,0,0,2024-02-23,Circom,3
prabal-banerjee/avail-zk-attestation,0,0,0,0,2022-08-24,JavaScript,1
Manuel-yang/zkp_rollup_demo,0,0,0,0,2023-11-02,Circom,1
routadu/metacrafters-eth-poly-proof-zkEVM,0,0,0,0,2023-07-21,Solidity,1
web3vx/zk-tls-circom-symmetric,0,0,0,0,2024-11-04,Go,1
aguzmant103/zkwebauthn-webauthn-circom,0,0,0,0,2023-09-25,Circom,2
oskarth/hello-circom-old,0,0,0,0,2023-08-23,JavaScript,1
yugocabrio/commitment,0,0,0,0,2024-08-30,C++,1
metallicalfa2/CCT-zkproofs,0,0,0,0,2021-02-06,JavaScript,1
Web3-Study-with-Sigrid-Jin/shield-example,0,0,0,0,2022-12-02,WebAssembly,1
harsh08hc/POLY-PROOF-Harsh-Module-3,0,0,0,0,2023-07-22,Solidity,1
datluongductuan/plonky2,0,0,1,2,2023-04-03,Rust,13
0glabs/0g-vc,0,0,0,4,2024-10-17,Circom,3
victoryeo/private-txn-app,0,0,0,0,2024-09-01,JavaScript,1
morkeltry/ruggya,0,1,0,1,2024-05-23,Assembly,3
answerco/circomlib,0,0,0,0,2022-07-29,JavaScript,1
